""	"MI of unemployment rates"
"1"	0.152621742038999
"2"	0.14959937512791
"3"	0.145415895878304
"4"	0.15083397072601
"5"	0.164869091753508
"6"	0.156002018048045
"7"	0.141999320243549
"8"	0.152741561599406
"9"	0.150874995948158
"10"	0.144058158307524
"11"	0.138842238247279
"12"	0.138503853048627
"13"	0.141264887891147
"14"	0.136743970253516
"15"	0.141866544481086
"16"	0.124722367582434
"17"	0.0977929797111117
"18"	0.103638392583028
"19"	0.106780190891187
"20"	0.106531681439451
"21"	0.107172841697458
"22"	0.0985899652915162
"23"	0.100351216900741
"24"	0.111595449003302
"25"	0.122367245038364
"26"	0.128649101329387
"27"	0.136025538652374
"28"	0.14315838033748
"29"	0.147874656881484
"30"	0.14934940726385
"31"	0.152622871291851
"32"	0.160094976213186
"33"	0.17520425486122
"34"	0.203502432324636
"35"	0.209456696617024
"36"	0.195698169183318
"37"	0.18277622707242
"38"	0.176573114240797
"39"	0.179302343756732
"40"	0.175423503081013
"41"	0.174780255517153
"42"	0.177842808908726
"43"	0.181560894555229
"44"	0.182731606599955
"45"	0.179800833367942
"46"	0.177373293585376
"47"	0.174797414503876
"48"	0.165850413570034
"49"	0.169507496730962
"50"	0.169819739583238
"51"	0.171738874364307
"52"	0.179781450976261
"53"	0.18781079114116
"54"	0.188567280970491
"55"	0.190712936990124
"56"	0.183284683581947
"57"	0.176057943434575
"58"	0.176314824623992
"59"	0.178151232934422
"60"	0.17985456966269
"61"	0.183232776348698
"62"	0.18885570505578
"63"	0.197985560490464
"64"	0.21241227447118
"65"	0.224226486470296
"66"	0.231650816670832
"67"	0.235782535418214
"68"	0.236149473515425
"69"	0.237547421717411
"70"	0.238155977981724
"71"	0.246849037756309
"72"	0.257181328268854
"73"	0.269066246561175
"74"	0.273816604960338
"75"	0.272822804476449
"76"	0.277408674344384
"77"	0.281762176177367
"78"	0.280719838753045
"79"	0.271991153086474
"80"	0.264692701556684
"81"	0.263206011471216
"82"	0.25712866939278
"83"	0.248045877166526
"84"	0.237986178160752
"85"	0.23920232007872
"86"	0.232698068247912
"87"	0.239563574936031
"88"	0.22871944528353
"89"	0.231547937911013
"90"	0.243253664853335
"91"	0.25117772164606
"92"	0.262547049045288
"93"	0.271323453166919
"94"	0.275375315996586
"95"	0.277293873832847
"96"	0.276677068982662
"97"	0.283040661304418
"98"	0.287822750642257
"99"	0.291652159749158
"100"	0.28749979022282
"101"	0.308497239049073
"102"	0.315518301747761
"103"	0.319366637340863
"104"	0.326258760832818
"105"	0.317676076170112
"106"	0.319347618565084
"107"	0.304999538655653
"108"	0.273229927564919
"109"	0.268066991587889
"110"	0.265814886455439
"111"	0.276113814766472
"112"	0.28393661803148
"113"	0.274457339546189
"114"	0.275462854855074
"115"	0.284327685861687
"116"	0.286833368420163
"117"	0.287191361746816
"118"	0.291893443437365
"119"	0.290188866054259
"120"	0.296231056703391
"121"	0.289529358677733
"122"	0.282420982913677
"123"	0.271471085732613
"124"	0.280022307379924
"125"	0.2827835767068
"126"	0.27433627800069
"127"	0.269770483885217
"128"	0.270623041990204
"129"	0.260799332036609
"130"	0.259420269372531
"131"	0.255400360988505
"132"	0.249224294148978
"133"	0.245529189175328
"134"	0.249425535999214
"135"	0.251054245682369
"136"	0.258850584349879
"137"	0.253350324897228
"138"	0.249167531850836
"139"	0.252400098571228
"140"	0.261501858421939
"141"	0.266377689738514
"142"	0.268218725915238
"143"	0.285683308288843
"144"	0.287992772747422
"145"	0.294814473126956
"146"	0.298461983542635
"147"	0.290544746740091
"148"	0.294613852363923
"149"	0.294753358450203
"150"	0.291670936654847
